date,machine_id,location,product_name,stock_added,units_consumed,stock_remaining,day_of_week,month,notes
2026-01-01,Machine_1_CityMall,"City Mall, Main Street",Lays Classic Chips,0,4,56,Thursday,January,
2026-01-01,Machine_1_CityMall,"City Mall, Main Street",Kurkure Masala,0,3,47,Thursday,January,
2026-01-01,Machine_1_CityMall,"City Mall, Main Street",Pepsi 250ml,0,6,66,Thursday,January,
2026-01-01,Machine_1_CityMall,"City Mall, Main Street",Sprite 250ml,0,5,55,Thursday,January,
2026-01-01,Machine_1_CityMall,"City Mall, Main Street",KitKat Chocolate,0,2,38,Thursday,January,
2026-01-01,Machine_1_CityMall,"City Mall, Main Street",Mineral Water 500ml,0,6,74,Thursday,January,
2026-01-02,Machine_1_CityMall,"City Mall, Main Street",Lays Classic Chips,0,5,51,Friday,January,
2026-01-02,Machine_1_CityMall,"City Mall, Main Street",Kurkure Masala,0,3,44,Friday,January,
2026-01-02,Machine_1_CityMall,"City Mall, Main Street",Pepsi 250ml,0,5,61,Friday,January,
2026-01-02,Machine_1_CityMall,"City Mall, Main Street",Sprite 250ml,0,4,51,Friday,January,
2026-01-02,Machine_1_CityMall,"City Mall, Main Street",KitKat Chocolate,0,2,36,Friday,January,
2026-01-02,Machine_1_CityMall,"City Mall, Main Street",Mineral Water 500ml,0,6,68,Friday,January,
2026-01-03,Machine_1_CityMall,"City Mall, Main Street",Lays Classic Chips,0,5,46,Saturday,January,
2026-01-03,Machine_1_CityMall,"City Mall, Main Street",Kurkure Masala,0,3,41,Saturday,January,
2026-01-03,Machine_1_CityMall,"City Mall, Main Street",Pepsi 250ml,0,5,56,Saturday,January,
2026-01-03,Machine_1_CityMall,"City Mall, Main Street",Sprite 250ml,0,5,46,Saturday,January,
2026-01-03,Machine_1_CityMall,"City Mall, Main Street",KitKat Chocolate,0,3,33,Saturday,January,
2026-01-03,Machine_1_CityMall,"City Mall, Main Street",Mineral Water 500ml,0,9,59,Saturday,January,
2026-01-04,Machine_1_CityMall,"City Mall, Main Street",Lays Classic Chips,0,4,42,Sunday,January,
2026-01-04,Machine_1_CityMall,"City Mall, Main Street",Kurkure Masala,0,3,38,Sunday,January,
2026-01-04,Machine_1_CityMall,"City Mall, Main Street",Pepsi 250ml,0,8,48,Sunday,January,
2026-01-04,Machine_1_CityMall,"City Mall, Main Street",Sprite 250ml,0,5,41,Sunday,January,
2026-01-04,Machine_1_CityMall,"City Mall, Main Street",KitKat Chocolate,0,3,30,Sunday,January,
2026-01-04,Machine_1_CityMall,"City Mall, Main Street",Mineral Water 500ml,0,7,52,Sunday,January,
2026-01-05,Machine_1_CityMall,"City Mall, Main Street",Lays Classic Chips,0,3,39,Monday,January,
2026-01-05,Machine_1_CityMall,"City Mall, Main Street",Kurkure Masala,0,3,35,Monday,January,
2026-01-05,Machine_1_CityMall,"City Mall, Main Street",Pepsi 250ml,0,4,44,Monday,January,
2026-01-05,Machine_1_CityMall,"City Mall, Main Street",Sprite 250ml,0,4,37,Monday,January,
2026-01-05,Machine_1_CityMall,"City Mall, Main Street",KitKat Chocolate,0,2,28,Monday,January,
2026-01-05,Machine_1_CityMall,"City Mall, Main Street",Mineral Water 500ml,0,6,46,Monday,January,
2026-01-06,Machine_1_CityMall,"City Mall, Main Street",Lays Classic Chips,0,3,36,Tuesday,January,
2026-01-06,Machine_1_CityMall,"City Mall, Main Street",Kurkure Masala,0,4,31,Tuesday,January,
2026-01-06,Machine_1_CityMall,"City Mall, Main Street",Pepsi 250ml,0,5,39,Tuesday,January,
2026-01-06,Machine_1_CityMall,"City Mall, Main Street",Sprite 250ml,0,3,34,Tuesday,January,
2026-01-06,Machine_1_CityMall,"City Mall, Main Street",KitKat Chocolate,0,3,25,Tuesday,January,
2026-01-06,Machine_1_CityMall,"City Mall, Main Street",Mineral Water 500ml,0,5,41,Tuesday,January,
2026-01-07,Machine_1_CityMall,"City Mall, Main Street",Lays Classic Chips,0,4,32,Wednesday,January,
2026-01-07,Machine_1_CityMall,"City Mall, Main Street",Kurkure Masala,0,2,29,Wednesday,January,
2026-01-07,Machine_1_CityMall,"City Mall, Main Street",Pepsi 250ml,0,4,35,Wednesday,January,
2026-01-07,Machine_1_CityMall,"City Mall, Main Street",Sprite 250ml,0,4,30,Wednesday,January,
2026-01-07,Machine_1_CityMall,"City Mall, Main Street",KitKat Chocolate,0,3,22,Wednesday,January,
2026-01-07,Machine_1_CityMall,"City Mall, Main Street",Mineral Water 500ml,0,7,34,Wednesday,January,
2026-01-08,Machine_1_CityMall,"City Mall, Main Street",Lays Classic Chips,0,3,29,Thursday,January,
2026-01-08,Machine_1_CityMall,"City Mall, Main Street",Kurkure Masala,0,3,26,Thursday,January,
2026-01-08,Machine_1_CityMall,"City Mall, Main Street",Pepsi 250ml,0,4,31,Thursday,January,
2026-01-08,Machine_1_CityMall,"City Mall, Main Street",Sprite 250ml,0,4,26,Thursday,January,
2026-01-08,Machine_1_CityMall,"City Mall, Main Street",KitKat Chocolate,0,2,20,Thursday,January,
2026-01-08,Machine_1_CityMall,"City Mall, Main Street",Mineral Water 500ml,0,8,26,Thursday,January,
2026-01-09,Machine_1_CityMall,"City Mall, Main Street",Lays Classic Chips,0,4,25,Friday,January,
2026-01-09,Machine_1_CityMall,"City Mall, Main Street",Kurkure Masala,0,2,24,Friday,January,
2026-01-09,Machine_1_CityMall,"City Mall, Main Street",Pepsi 250ml,0,5,26,Friday,January,
2026-01-09,Machine_1_CityMall,"City Mall, Main Street",Sprite 250ml,0,4,22,Friday,January,
